tool	cpu	sock	cor	log	ram	siz	thr	strategy	start	stop	time	mem	comment

arq5.1	xeon	1	4	4	16	01	0	tdb2.fuseki	1735838972	1735839027	13	3.0	x
arq5.1	xeon	1	4	4	16	02	0	tdb2.fuseki	1735838972	1735839027	24	3.9	x
arq5.1	xeon	1	4	4	16	04	0	tdb2.fuseki	1735838972	1735839027	46	7.0	x
arq5.1	xeon	1	4	4	16	07	0	tdb2.fuseki	1735838972	1735839027	78	11.2	x
arq5.1	xeon	1	4	4	16	08	0	tdb2.fuseki	1735838972	1735839027	87	13.7	x
arq5.1	xeon	1	4	4	16	10	0	tdb2.fuseki	1735838972	1735839027	109	15.2	x
arq5.1	xeon	1	4	4	16	16	0	tdb2.fuseki	1735838972	1735839027	177	17.4	x
arq5.1	xeon	1	4	4	16	20	0	tdb2.fuseki	1735838972	1735839027	235	9.7	x
arq5.1	xeon	1	4	4	16	24	0	tdb2.fuseki	1735838972	1735839027	269	11.4	x
arq5.1	xeon	1	4	4	16	30	0	tdb2.fuseki	1735838972	1735839027	340	11.4	-- resulting ds: 11M tp and 4.45GB HDD
arq5.1	xeon	1	4	4	16	40	0	tdb2.fuseki	1735838972	1735839027	462	15.3	x
arq5.1	xeon	1	4	4	16	50	0	tdb2.fuseki	1735838972	1735839027	596	21.7	x
arq3.11	xeon	2	48	96	999	01	0	tdb.tdbupdate	1735830400	1735830456	56	10.2	x
arq4.9	xeon	2	48	96	999	01	0	tdb.tdbupdate	1735830456	1735830509	53	9.6	x
arq5.1	xeon	2	48	96	999	01	0	tdb.tdbupdate	1735830509	1735830564	55	8.5	x
arq3.11	xeon	2	48	96	999	02	0	tdb.tdbupdate	1735830598	1735830763	165	10.8	x
arq4.9	xeon	2	48	96	999	02	0	tdb.tdbupdate	1735830763	1735830919	156	8.6	x
arq5.1	xeon	2	48	96	999	02	0	tdb.tdbupdate	1735830919	1735831072	153	9.8	x
arq3.11	xeon	2	48	96	999	04	0	tdb.tdbupdate	1735831123	1735831681	558	10.8	x
arq4.9	xeon	2	48	96	999	04	0	tdb.tdbupdate	1735831681	1735832233	552	8.9	x
arq5.1	xeon	2	48	96	999	04	0	tdb.tdbupdate	1735832233	1735832775	542	9.8	x
arq3.11	xeon	2	48	96	999	07	0	tdb.tdbupdate	1735832857	1735834441	1584	0	x
arq4.9	xeon	2	48	96	999	07	0	tdb.tdbupdate	1735834441	1735836053	1612	0	x
arq5.1	xeon	2	48	96	999	07	0	tdb.tdbupdate	1735836053	1735837653	1600	0	x
arq3.11	xeon	2	48	96	999	08	0	tdb.tdbupdate	1735837799	1735839935	2136	0	x
arq4.9	xeon	2	48	96	999	08	0	tdb.tdbupdate	1735839935	1735842085	2150	0	x
arq5.1	xeon	2	48	96	999	08	0	tdb.tdbupdate	1735842085	1735844239	2154	0	x
arq3.11	xeon	2	48	96	999	10	0	tdb.tdbupdate	1735844399	1735847678	3279	0	x
arq4.9	xeon	2	48	96	999	10	0	tdb.tdbupdate	1735847678	1735851022	3344	0	x
arq5.1	xeon	2	48	96	999	10	0	tdb.tdbupdate	1735851022	1735854407	3385	0	x
arq3.11	xeon	2	48	96	999	01	0	tdb2.tdbupdate	1740573203	1740573211	8	2.8	-- same as in-mem (probably because of --data instead of --tdb). does not work on higher jena versions. proper usage on higher versions requires db-assembler file. --> actually a CLI for fuseki servers.
arq3.11	xeon	2	48	96	999	02	0	tdb2.tdbupdate	1740573211	1740573224	13	4.9	-- same as in-mem (probably because of --data instead of --tdb). does not work on higher jena versions. proper usage on higher versions requires db-assembler file. --> actually a CLI for fuseki servers.
arq3.11	xeon	2	48	96	999	04	0	tdb2.tdbupdate	1740573225	1740573249	24	9.1	-- same as in-mem (probably because of --data instead of --tdb). does not work on higher jena versions. proper usage on higher versions requires db-assembler file. --> actually a CLI for fuseki servers.
arq3.11	xeon	2	48	96	999	07	0	tdb2.tdbupdate	1740573250	1740573290	40	6.5	-- same as in-mem (probably because of --data instead of --tdb). does not work on higher jena versions. proper usage on higher versions requires db-assembler file. --> actually a CLI for fuseki servers.
arq3.11	xeon	2	48	96	999	08	0	tdb2.tdbupdate	1740573291	1740573338	47	6.8	-- same as in-mem (probably because of --data instead of --tdb). does not work on higher jena versions. proper usage on higher versions requires db-assembler file. --> actually a CLI for fuseki servers.
